case_id,candidate_id,chunk_id,chunk_index,chunk_text,score_full,score_minus_chunk,success_full,success_minus_chunk,chunk_score_advantage,chunk_pass_advantage,not_interpretable_due_to_full_fail,positive_adv,chunk_adv_norm
37a8675_2,37a8675_2__minimax__sample_02,37a8675_2__minimax__sample_02__chunk_01,,,1.0,1.0,True,True,0.0,0,False,0.0,0.0
37a8675_2,37a8675_2__minimax__sample_02,37a8675_2__minimax__sample_02__chunk_05,,,1.0,1.0,True,True,0.0,0,False,0.0,0.0
37a8675_2,37a8675_2__minimax__sample_02,37a8675_2__minimax__sample_02__chunk_03,,,1.0,1.0,True,True,0.0,0,False,0.0,0.0
37a8675_2,37a8675_2__minimax__sample_02,37a8675_2__minimax__sample_02__chunk_00,,,1.0,1.0,True,True,0.0,0,False,0.0,0.0
37a8675_2,37a8675_2__minimax__sample_02,37a8675_2__minimax__sample_02__chunk_04,,,1.0,1.0,True,True,0.0,0,False,0.0,0.0
37a8675_2,37a8675_2__minimax__sample_02,37a8675_2__minimax__sample_02__chunk_02,,,1.0,1.0,True,True,0.0,0,False,0.0,0.0
37a8675_2,37a8675_2__minimax__sample_02,37a8675_2__minimax__sample_02__chunk_09,,,1.0,1.0,True,True,0.0,0,False,0.0,0.0
37a8675_2,37a8675_2__minimax__sample_02,37a8675_2__minimax__sample_02__chunk_08,,,1.0,1.0,True,True,0.0,0,False,0.0,0.0
37a8675_2,37a8675_2__minimax__sample_02,37a8675_2__minimax__sample_02__chunk_10,,,1.0,1.0,True,True,0.0,0,False,0.0,0.0
37a8675_2,37a8675_2__minimax__sample_02,37a8675_2__minimax__sample_02__chunk_06,,,1.0,1.0,True,True,0.0,0,False,0.0,0.0
37a8675_2,37a8675_2__minimax__sample_02,37a8675_2__minimax__sample_02__chunk_07,,,1.0,1.0,True,True,0.0,0,False,0.0,0.0
37a8675_2,37a8675_2__minimax__sample_02,37a8675_2__minimax__sample_02__chunk_11,,,1.0,1.0,True,True,0.0,0,False,0.0,0.0
57c3486_2,57c3486_2__minimax__sample_07,57c3486_2__minimax__sample_07__chunk_03,,,1.0,1.0,True,True,0.0,0,False,0.0,0.0
57c3486_2,57c3486_2__minimax__sample_07,57c3486_2__minimax__sample_07__chunk_01,,,1.0,1.0,True,True,0.0,0,False,0.0,0.0
57c3486_2,57c3486_2__minimax__sample_07,57c3486_2__minimax__sample_07__chunk_02,,,1.0,1.0,True,True,0.0,0,False,0.0,0.0
57c3486_2,57c3486_2__minimax__sample_07,57c3486_2__minimax__sample_07__chunk_05,,,1.0,0.0,True,False,1.0,1,False,1.0,0.2
57c3486_2,57c3486_2__minimax__sample_07,57c3486_2__minimax__sample_07__chunk_00,,,1.0,1.0,True,True,0.0,0,False,0.0,0.0
57c3486_2,57c3486_2__minimax__sample_07,57c3486_2__minimax__sample_07__chunk_04,,,1.0,1.0,True,True,0.0,0,False,0.0,0.0
57c3486_2,57c3486_2__minimax__sample_07,57c3486_2__minimax__sample_07__chunk_06,,,1.0,1.0,True,True,0.0,0,False,0.0,0.0
383cbac_2,383cbac_2__minimax__sample_06,383cbac_2__minimax__sample_06__chunk_01,,,1.0,1.0,True,True,0.0,0,False,0.0,0.0
