context_id,budget,source_agent,target_agent,success_self,success_cross,judge_drop,n_samples
locomo::conv-26::0ae3d10c6c,128,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-26::0ae3d10c6c,128,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-26::0ae3d10c6c,128,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-26::0ae3d10c6c,128,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-26::0ae3d10c6c,128,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-26::0ae3d10c6c,128,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-26::0ae3d10c6c,256,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-26::0ae3d10c6c,256,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-26::0ae3d10c6c,256,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-26::0ae3d10c6c,256,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-26::0ae3d10c6c,256,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-26::0ae3d10c6c,256,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-26::0ae3d10c6c,512,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-26::0ae3d10c6c,512,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-26::0ae3d10c6c,512,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-26::0ae3d10c6c,512,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-26::0ae3d10c6c,512,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-26::0ae3d10c6c,512,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-26::0ae3d10c6c,1024,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-26::0ae3d10c6c,1024,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-26::0ae3d10c6c,1024,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-26::0ae3d10c6c,1024,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-26::0ae3d10c6c,1024,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-26::0ae3d10c6c,1024,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,128,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,128,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,128,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,128,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,128,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,128,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,256,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,256,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,256,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,256,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,256,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,256,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,512,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,512,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,512,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,512,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,512,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,512,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,1024,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,1024,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,1024,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,1024,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,1024,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-26::ac04ef7de2,1024,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,128,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,128,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,128,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,128,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,128,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,128,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,256,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,256,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,256,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,256,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,256,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,256,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,512,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,512,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,512,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,512,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,512,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,512,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,1024,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,1024,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,1024,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,1024,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,1024,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-30::b9a67d54b3,1024,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,128,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,128,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,128,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,128,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,128,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,128,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,256,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,256,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,256,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,256,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,256,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,256,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,512,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,512,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,512,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,512,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,512,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,512,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,1024,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,1024,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,1024,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,1024,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,1024,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-30::095859df0b,1024,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,128,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,128,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,128,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,128,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,128,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,128,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,256,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,256,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,256,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,256,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,256,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,256,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,512,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,512,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,512,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,512,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,512,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,512,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,1024,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,1024,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,1024,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,1024,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,1024,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-41::acaf4d9cb7,1024,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-41::489529915c,128,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-41::489529915c,128,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-41::489529915c,128,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-41::489529915c,128,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-41::489529915c,128,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-41::489529915c,128,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-41::489529915c,256,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-41::489529915c,256,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-41::489529915c,256,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-41::489529915c,256,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-41::489529915c,256,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-41::489529915c,256,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-41::489529915c,512,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-41::489529915c,512,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-41::489529915c,512,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-41::489529915c,512,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-41::489529915c,512,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-41::489529915c,512,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-41::489529915c,1024,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-41::489529915c,1024,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-41::489529915c,1024,A_plan,A_react,0.0,0.0,0.0,16
locomo::conv-41::489529915c,1024,A_plan,A_cot,0.0,0.0,0.0,16
locomo::conv-41::489529915c,1024,A_cot,A_react,0.0,0.0,0.0,16
locomo::conv-41::489529915c,1024,A_cot,A_plan,0.0,0.0,0.0,16
locomo::conv-42::002f754ba1,128,A_react,A_plan,0.0,0.0,0.0,16
locomo::conv-42::002f754ba1,128,A_react,A_cot,0.0,0.0,0.0,16
locomo::conv-42::002f754ba1,128,A_plan,A_react,0.0,0.0,0.0,16
