context_id,budget,source_agent,target_agent,action_match_self,action_match_cross,task_drop,overlap_self,overlap_cross,overlap_drop,policy_divergence
longmemeval::f0853d11,128,A_react,A_plan,0.0,0.0,0.0,0.0,0.0,0.0,0.9375
longmemeval::f0853d11,128,A_react,A_cot,0.0,0.0,0.0,0.0,0.0,0.0,1.0
longmemeval::f0853d11,128,A_plan,A_react,0.0,0.0,0.0,0.1875,0.1875,0.0,0.9375
longmemeval::f0853d11,128,A_plan,A_cot,0.0,0.0,0.0,0.125,0.0,0.125,1.0
longmemeval::f0853d11,128,A_cot,A_react,0.0,0.0,0.0,0.1875,0.125,0.0625,0.9375
longmemeval::f0853d11,128,A_cot,A_plan,0.0,0.0,0.0,0.0,0.0,0.0,1.0
longmemeval::f0853d11,256,A_react,A_plan,0.0,0.0,0.0,0.0,0.0,0.0,0.9375
longmemeval::f0853d11,256,A_react,A_cot,0.0,0.0,0.0,0.0,0.0,0.0,1.0
longmemeval::f0853d11,256,A_plan,A_react,0.0,0.0,0.0,0.1875,0.1875,0.0,0.9375
longmemeval::f0853d11,256,A_plan,A_cot,0.0,0.0,0.0,0.0,0.0,0.0,1.0
longmemeval::f0853d11,256,A_cot,A_react,0.0,0.0,0.0,0.1875,0.125,0.0625,0.9375
longmemeval::f0853d11,256,A_cot,A_plan,0.0,0.0,0.0,0.0,0.0,0.0,1.0
longmemeval::f0853d11,512,A_react,A_plan,0.0,0.0,0.0,0.0,0.0,0.0,0.9375
longmemeval::f0853d11,512,A_react,A_cot,0.0,0.0,0.0,0.0,1.1102230246251565e-16,-1.1102230246251565e-16,1.0
longmemeval::f0853d11,512,A_plan,A_react,0.0,0.0,0.0,0.1875,0.1875,0.0,0.9375
