context_id,budget,agent_a,agent_b,token_jaccard,sentence_jaccard,tfidf_cosine,sbert_cosine,memory_a_tokens,memory_b_tokens
longmemeval::f0853d11,128,A_cot,A_plan,0.8181818181818182,0.0,0.710061448144642,0.930306613445282,57,42
longmemeval::f0853d11,128,A_cot,A_react,0.5128205128205128,0.0,0.4979767337138093,0.8486137986183167,57,50
longmemeval::f0853d11,128,A_plan,A_react,0.6060606060606061,0.0,0.6630324121214272,0.8423957824707031,42,50
longmemeval::f0853d11,256,A_cot,A_plan,0.6046511627906976,0.25,0.7551943429433172,0.8809672594070435,68,44
longmemeval::f0853d11,256,A_cot,A_react,0.5833333333333334,0.16666666666666666,0.5748493230344461,0.9022318124771118,68,66
longmemeval::f0853d11,256,A_plan,A_react,0.7567567567567568,0.2,0.7209899270519795,0.9527687430381775,44,66
longmemeval::f0853d11,512,A_cot,A_plan,0.6756756756756757,0.0,0.6731883731412774,0.8136334419250488,80,57
longmemeval::f0853d11,512,A_cot,A_react,0.6410256410256411,0.0,0.6890524181250083,0.8183825612068176,80,99
longmemeval::f0853d11,512,A_plan,A_react,0.5897435897435898,0.0,0.6841587515695711,0.968514621257782,57,99
longmemeval::f0853d11,1024,A_cot,A_plan,0.2542372881355932,0.0,0.46152104210984357,0.6198464632034302,145,32
longmemeval::f0853d11,1024,A_cot,A_react,0.35714285714285715,0.0,0.6612893355581061,0.7709610462188721,145,43
longmemeval::f0853d11,1024,A_plan,A_react,0.6521739130434783,0.0,0.6970537189741522,0.7948195934295654,32,43
longmemeval::f0853d11,2048,A_cot,A_plan,0.4857142857142857,0.0,0.6678893983663732,0.7914195656776428,35,56
longmemeval::f0853d11,2048,A_cot,A_react,0.5714285714285714,0.0,0.6507977301760604,0.8911517858505249,35,47
longmemeval::f0853d11,2048,A_plan,A_react,0.5135135135135135,0.0,0.6130409059204885,0.8757351040840149,56,47
longmemeval::f0853d11,4096,A_cot,A_plan,0.3673469387755102,0.0,0.525558529118957,0.7671910524368286,32,95
longmemeval::f0853d11,4096,A_cot,A_react,0.7619047619047619,0.0,0.8298333102976811,0.9656896591186523,32,37
longmemeval::f0853d11,4096,A_plan,A_react,0.3076923076923077,0.0,0.4549641772784518,0.7485958337783813,95,37
longmemeval::gpt4_6ed717ea,128,A_cot,A_plan,0.5,0.0,0.4826188097436557,0.8258946537971497,71,47
